Motif_ID	motifLen
M06797_2.00	20
M06798_2.00	17
M06810_2.00	11
M06812_2.00	6
M06813_2.00	15
M06814_2.00	7
M00858_2.00	8
M01856_2.00	7
M00859_2.00	11
M00860_2.00	7
M01857_2.00	7
M06819_2.00	11
M06821_2.00	15
M01860_2.00	7
M06826_2.00	11
M01854_2.00	7
M06824_2.00	17
M06825_2.00	17
M01061_2.00	10
M06815_2.00	15
M06816_2.00	18
M06809_2.00	17
M06807_2.00	17
M06808_2.00	16
M06803_2.00	18
M01060_2.00	10
M06818_2.00	20
M06795_2.00	20
M06796_2.00	18
M06822_2.00	20
M06823_2.00	17
M10384_2.00	0
M01858_2.00	7
M08081_2.00	11
M06811_2.00	7
M06805_2.00	15
M06806_2.00	15
M06801_2.00	19
M06802_2.00	15
M06820_2.00	18
M06804_2.00	19
M01443_2.00	9
M01167_2.00	7
M01852_2.00	7
M06799_2.00	8
M06800_2.00	11
M01859_2.00	7
M00857_2.00	7
M01168_2.00	7
M00861_2.00	7
M01855_2.00	13
M06817_2.00	8
M01851_2.00	8
M01853_2.00	9
M01444_2.00	9
M01169_2.00	10
M01190_2.00	8
M00638_2.00	10
M00641_2.00	10
M08103_2.00	11
M08195_2.00	10
M00648_2.00	9
M00639_2.00	10
M00608_2.00	7
M09518_2.00	12
M00609_2.00	10
M08451_2.00	6
M00610_2.00	10
M00611_2.00	10
M00622_2.00	8
M00647_2.00	7
M01865_2.00	8
M08102_2.00	15
M00623_2.00	10
M00625_2.00	8
M00612_2.00	9
M00627_2.00	10
M00617_2.00	9
M00637_2.00	8
M00645_2.00	10
M00613_2.00	8
M00614_2.00	8
M00626_2.00	10
M00615_2.00	10
M00624_2.00	10
M00643_2.00	11
M00616_2.00	10
M00618_2.00	9
M00619_2.00	10
M00620_2.00	10
M00621_2.00	10
M00634_2.00	8
M00642_2.00	7
M00632_2.00	10
M00646_2.00	8
M00630_2.00	8
M10386_2.00	0
M10387_2.00	0
M00633_2.00	10
M00628_2.00	10
M00644_2.00	10
M01866_2.00	10
M00629_2.00	8
M01867_2.00	10
M00635_2.00	10
M00640_2.00	8
M00631_2.00	10
M00636_2.00	8
M01850_2.00	11
M01035_2.00	10
M01036_2.00	10
M01037_2.00	8
M10381_2.00	0
M01031_2.00	10
M01032_2.00	8
M01033_2.00	9
M01034_2.00	9
M01040_2.00	8
M01200_2.00	7
M01861_2.00	11
M01170_2.00	8
M01445_2.00	9
M06173_2.00	21
M06174_2.00	26
M06175_2.00	8
M06176_2.00	24
M03678_2.00	14
M06107_2.00	8
M06108_2.00	11
M03692_2.00	13
M06141_2.00	12
M06142_2.00	12
M03676_2.00	17
M03677_2.00	17
M06090_2.00	8
M06028_2.00	7
M06029_2.00	12
M06030_2.00	9
M06031_2.00	7
M06032_2.00	11
M06033_2.00	8
M06034_2.00	8
M06035_2.00	8
M06036_2.00	6
M08446_2.00	14
M08447_2.00	8
M08448_2.00	11
M08449_2.00	11
M10365_2.00	16
M10366_2.00	15
M10367_2.00	13
M10097_2.00	18
M03661_2.00	11
M06037_2.00	10
M06466_2.00	10
M03683_2.00	13
M06121_2.00	8
M06122_2.00	14
M03705_2.00	11
M03706_2.00	13
M02670_2.00	10
M06038_2.00	8
M06039_2.00	9
M06040_2.00	15
M10368_2.00	9
M10369_2.00	9
M03693_2.00	19
M03707_2.00	11
M03708_2.00	15
M06125_2.00	6
M06126_2.00	14
M06127_2.00	15
M03691_2.00	13
M06139_2.00	9
M06140_2.00	13
M03687_2.00	10
M03694_2.00	17
M03699_2.00	14
M03711_2.00	17
M06134_2.00	11
M06135_2.00	15
M06136_2.00	14
M03709_2.00	11
M06130_2.00	9
M06131_2.00	25
M06169_2.00	12
M06170_2.00	11
M03701_2.00	15
M06156_2.00	13
M03700_2.00	9
M06154_2.00	12
M06155_2.00	25
M06146_2.00	20
M06147_2.00	15
M06143_2.00	8
M03703_2.00	13
M06161_2.00	18
M06162_2.00	14
M03695_2.00	18
M03696_2.00	10
M03697_2.00	20
M03698_2.00	11
M06150_2.00	8
M06151_2.00	11
M02644_2.00	11
M03672_2.00	10
M06084_2.00	11
M01043_2.00	9
M01044_2.00	10
M06116_2.00	15
M08193_2.00	10
M08194_2.00	11
M08413_2.00	15
M06120_2.00	9
M06119_2.00	9
M06171_2.00	11
M06172_2.00	15
M03686_2.00	13
M06128_2.00	11
M06129_2.00	15
M06050_2.00	7
M06081_2.00	7
M06082_2.00	14
M06083_2.00	24
M03671_2.00	18
M06078_2.00	12
M06079_2.00	12
M06080_2.00	15
M06041_2.00	8
M06042_2.00	10
M06043_2.00	13
M06044_2.00	11
M08450_2.00	10
M09660_2.00	10
M10370_2.00	10
M03662_2.00	22
M06045_2.00	15
M06046_2.00	15
M03710_2.00	12
M06168_2.00	9
M06470_2.00	9
M09666_2.00	10
M06123_2.00	15
M06124_2.00	11
M03690_2.00	12
M06137_2.00	9
M06138_2.00	15
M06111_2.00	9
M06112_2.00	15
M03680_2.00	13
M03681_2.00	13
M06114_2.00	11
M06115_2.00	15
M03663_2.00	12
M06047_2.00	10
M06048_2.00	11
M06049_2.00	8
M08411_2.00	14
M09661_2.00	11
M10371_2.00	10
M10372_2.00	0
M06177_2.00	19
M06178_2.00	15
M00564_2.00	10
M03702_2.00	15
M06157_2.00	14
M06158_2.00	15
M06091_2.00	7
M06092_2.00	9
M06093_2.00	9
M06094_2.00	10
M06095_2.00	7
M06096_2.00	7
M06097_2.00	11
M06098_2.00	9
M06099_2.00	8
M06100_2.00	9
M06101_2.00	8
M06102_2.00	9
M06103_2.00	7
M06104_2.00	9
M06105_2.00	7
M06106_2.00	9
M03704_2.00	10
M06163_2.00	10
M06164_2.00	14
M06179_2.00	12
