chainNum	score
0	-266451.853367
1	-264036.308185
2	-264590.789085
3	-264772.739383
4	-285031.776023
5	-264370.766733
6	-268074.113149
7	-262487.378733
8	-263334.283233
9	-261663.975091
10	-263596.260295
11	-266311.938041
12	-262530.307486
13	-286895.619100
14	-261170.421844
15	-263480.899575
16	-263745.837411
17	-264467.169001
18	-278002.454189
19	-265916.248154
20	-287925.298095
21	-286769.378426
22	-261957.904434
23	-265060.117984
24	-278103.644253
25	-262493.170172
26	-285877.157179
27	-283395.209613
28	-261383.924209
29	-263224.430971
30	-264917.100622
31	-263779.410942
32	-290085.631178
33	-265056.498719
34	-262125.277761
35	-266128.142492
36	-271577.306045
37	-260955.785332
38	-265307.767225
39	-287391.550315
40	-262629.907889
41	-285534.004043
42	-264866.925804
43	-262535.115479
44	-261096.018772
45	-262890.345024
46	-262649.004262
47	-286525.153901
48	-261374.989829
49	-261730.885687
50	-287242.457516
51	-287860.807912
52	-262715.483426
53	-261546.164681
54	-261486.817764
55	-265909.852069
56	-262386.543220
57	-285623.720519
58	-277650.445624
59	-264152.898504
60	-263437.761751
61	-263062.774041
62	-284916.182398
63	-262549.985772
64	-285436.348935
65	-283496.437721
66	-266039.738521
67	-262887.582821
68	-275898.851760
69	-262291.793500
70	-284035.400729
71	-263626.541806
72	-262595.560000
73	-264317.048825
74	-265376.112009
75	-262447.959434
76	-261464.313394
77	-263506.661420
78	-262371.172490
79	-263460.717347
80	-262321.364718
81	-261652.261682
82	-262609.757288
83	-277537.000150
84	-264722.973811
85	-261213.241810
86	-263001.923502
87	-263367.086038
88	-262812.199724
89	-262893.294058
90	-261581.534808
91	-262519.213472
92	-264376.926558
93	-262778.920591
94	-261606.858127
95	-263148.825473
96	-263966.009929
97	-268716.068143
98	-262802.152615
99	-262620.546665
100	-261285.344096
101	-264880.074183
102	-263507.164048
103	-287993.044289
104	-263131.749107
105	-262699.117728
106	-266152.700840
107	-263137.774289
108	-262050.243493
109	-275876.103966
110	-264103.188097
111	-287332.639008
112	-262144.799553
113	-264672.757804
114	-262249.470563
115	-263252.644760
116	-265346.444888
117	-283533.567898
118	-265707.973063
119	-263186.136869
120	-285132.129078
121	-263464.680094
122	-263517.663185
123	-261795.085758
124	-265051.786109
125	-264405.725826
126	-265385.710860
127	-262525.122460
128	-265010.409604
129	-262148.921602
130	-263600.480475
131	-261714.495343
132	-261442.372408
133	-286986.903405
134	-263153.124318
135	-262254.926340
136	-262804.316064
137	-262820.701652
138	-264282.991144
139	-263754.313480
140	-265019.126502
141	-262682.797284
142	-261900.031800
143	-262591.026636
144	-262143.359323
145	-262733.586465
146	-263220.354638
147	-264741.813298
148	-261297.148995
149	-267193.035388
150	-262940.664130
151	-260674.574816
152	-285637.134018
153	-263283.445812
154	-274619.467584
155	-264652.943807
156	-262862.002364
157	-264170.887112
158	-266191.974080
159	-262492.147037
160	-263288.828827
161	-262767.443591
162	-277182.385274
163	-264492.936670
164	-263299.343065
165	-277932.709437
166	-284226.292626
167	-264277.940387
168	-262725.065795
169	-263239.306522
170	-282931.295463
171	-277548.931410
172	-285709.042944
173	-262553.627060
174	-277985.272181
175	-262472.075558
176	-263710.171154
177	-261581.557119
178	-261074.318722
179	-262840.400176
180	-283128.850622
181	-264161.999537
182	-286409.583654
183	-274785.521997
184	-264939.485913
185	-265609.100985
186	-261636.152138
187	-264276.746909
188	-263615.283160
189	-264184.546085
190	-261061.190011
191	-262635.254328
192	-288571.458694
193	-261779.525680
194	-263096.861404
195	-264320.782600
196	-264683.691188
197	-264166.314825
198	-275880.501707
199	-262947.568118
200	-261529.879969
201	-262447.959434
202	-261734.739383
203	-262907.767298
204	-262598.911522
205	-276708.794730
206	-262979.104972
207	-264978.449046
208	-262792.371812
209	-261471.380036
210	-264874.369194
211	-285613.339390
212	-266342.365297
213	-277193.974678
214	-262916.868654
215	-262207.827989
216	-285666.104687
217	-261912.204046
218	-263366.762164
219	-263593.887326
220	-286048.307675
221	-277188.894657
222	-261776.772240
223	-283760.632917
224	-285000.871564
225	-278303.552548
226	-288787.913621
227	-265928.634206
228	-265239.013460
229	-261184.479498
230	-264604.189339
231	-287759.027192
232	-263023.741341
233	-265096.071906
234	-264733.391483
235	-264214.849734
236	-265341.095976
237	-267446.213876
238	-278068.369742
239	-285440.756820
240	-261682.133990
241	-261298.680039
242	-262034.694657
243	-264413.406344
244	-262409.215382
245	-264870.087511
246	-262535.155908
247	-285252.626356
248	-264307.755695
249	-264545.772892
