TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T078189_2.00	F135_2.00	TS04_2.00	M01437_2.00	MS58_2.00	RO3G_07632	RO3G_07632	Rhizopus_oryzae	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	RO3G_07632	PBM	TFs_NonAnimalZFs	PBM	Najafabadi	2015a	25690854	NULL	SimilarityRegression	FALSE	Broad	http://www.broadinstitute.org/	2016	May	1
T078206_2.00	F135_2.00	TS04_2.00	M01438_2.00	MS58_2.00	RO3G_11643	RO3G_11643	Rhizopus_oryzae	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	RO3G_11643	PBM	TFs_NonAnimalZFs	PBM	Najafabadi	2015a	25690854	NULL	SimilarityRegression	FALSE	Broad	http://www.broadinstitute.org/	2016	May	1
T080858_2.00	F135_2.00	TS12_2.00	M08081_2.00	MS31_2.00	AT3G48430	REF6	Arabidopsis_thaliana	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	AT3G48430	ChIP-seq	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T080964_2.00	F135_2.00	TS12_2.00	M01444_2.00	MS58_2.00	BATDEDRAFT_27309	BATDEDRAFT_27309	Batrachochytrium_dendrobatidis	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	BATDEDRAFT_27309	PBM	TFs_NonAnimalZFs	PBM	Najafabadi	2015a	25690854	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T080990_2.00	F135_2.00	TS12_2.00	M01169_2.00	MS57_2.00	BATDEDRAFT_9451	BATDEDRAFT_9451	Batrachochytrium_dendrobatidis	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	BATDEDRAFT_9451	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T083895_2.00	F135_2.00	TS12_2.00	M01861_2.00	MS64_2.00	CNG02160	CNG02160	Cryptococcus_neoformans	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	CNG02160	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T085479_2.00	F135_2.00	TS12_2.00	M01445_2.00	MS58_2.00	DDB_G0291342	DDB_G0291342	Dictyostelium_discoideum	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	DDB_G0291342	PBM	TFs_NonAnimalZFs	PBM	Najafabadi	2015a	25690854	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T085689_2.00	F135_2.00	TS12_2.00	M00127_2.00	MS02_2.00	EDL38120.1	EDL38120.1	Mus_musculus	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	EDL38120.1	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094776_2.00	F135_2.00	TS12_2.00	M07563_2.00	MS03_2.00	ENSG00000006194	ZNF263	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000006194	ChIP-seq+ChIP-exo	Barazandeh2018	ChIP-seq_and_ChIP-exo	Barazandeh	2018	29146583	March 2018	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094781_2.00	F135_2.00	TS12_2.00	M04390_2.00	MS62_2.00	ENSG00000011590	ZBTB32	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000011590	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
