prot	start	rev
Blimp-1	2	0
Bteb2	4	0
CG10267	7	1
CG12029	2	0
CG12236	1	0
CG12236-PB	2	1
CG17181	1	1
CG2052	2	0
CG31670	1	0
CG32830	10	0
CG5669	2	0
CG9895	0	0
Sp1	3	0
T078154_2.00	0	1
T078167_2.00	2	1
T078175_2.00	2	0
T078179_2.00	2	1
T078185_2.00	1	1
T078186_2.00	1	1
T078189_2.00	0	1
T078206_2.00	0	1
T078207_2.00	1	1
T078214_2.00	0	1
T078219_2.00	3	1
T078228_2.00	3	1
T080858_2.00	3	0
T080990_2.00	1	1
T082403_2.00	2	1
T082404_2.00	1	1
T082423_2.00	2	1
T082432_2.00	2	1
T082498_2.00	3	1
T082506_2.00	3	1
T082509_2.00	1	1
T094781_2.00	6	0
T094790_2.00	6	1
T094796_2.00	0	1
T094823_2.00	3	0
T094828_2.00	0	1
T094834_2.00	3	1
T094844_2.00	2	1
T094848_2.00	0	1
T094864_2.00	0	1
T094867_2.00	0	1
T094868_2.00	2	1
T094872_2.00	2	1
T094882_2.00	2	1
T094895_2.00	3	1
T094898_2.00	1	1
T094904_2.00	0	1
T094908_2.00	0	1
T094930_2.00	2	1
T094932_2.00	0	1
T094940_2.00	0	1
T094954_2.00	0	1
T094977_2.00	5	1
T094987_2.00	12	1
T095006_2.00	0	1
T095022_2.00	2	1
T095027_2.00	2	1
T095047_2.00	3	1
T095075_2.00	9	1
T095080_2.00	2	1
T095087_2.00	0	1
T095111_2.00	4	1
T095116_2.00	1	1
T095119_2.00	0	1
T095121_2.00	0	0
T095122_2.00	2	1
T095129_2.00	5	1
T095134_2.00	1	1
T095156_2.00	11	1
T095163_2.00	12	1
T095173_2.00	1	1
T095174_2.00	1	1
T095176_2.00	2	1
T095177_2.00	3	1
T095190_2.00	2	0
T095203_2.00	1	0
T095225_2.00	2	1
T095232_2.00	2	1
T095233_2.00	2	1
T095243_2.00	1	1
T095250_2.00	1	1
T095320_2.00	4	1
T095409_2.00	0	1
T095424_2.00	4	0
T095441_2.00	0	0
T095444_2.00	2	1
T095455_2.00	1	1
T095489_2.00	2	1
T100966_2.00	3	1
T100977_2.00	5	1
T100982_2.00	5	1
T100997_2.00	1	0
T100999_2.00	2	1
T101006_2.00	6	1
T101029_2.00	0	1
T101053_2.00	2	1
T101059_2.00	0	1
T101064_2.00	5	1
T101071_2.00	0	1
T101081_2.00	5	1
T101089_2.00	0	1
T101113_2.00	0	1
T101144_2.00	0	1
T101147_2.00	1	1
T101166_2.00	2	1
T101167_2.00	0	1
T101215_2.00	0	1
T101230_2.00	2	0
T101294_2.00	0	1
T101295_2.00	2	1
T101360_2.00	2	1
T101423_2.00	5	1
T101455_2.00	1	0
T101456_2.00	0	1
T101496_2.00	14	1
T114387_2.00	4	1
T114388_2.00	0	1
T114396_2.00	15	1
T114401_2.00	1	1
T114402_2.00	0	1
T114403_2.00	0	1
T114404_2.00	0	1
T114409_2.00	2	1
T114414_2.00	2	1
T114423_2.00	0	0
T114425_2.00	1	0
T114428_2.00	2	1
T114435_2.00	2	1
T114442_2.00	2	1
T114453_2.00	3	1
T114531_2.00	2	1
T114580_2.00	2	1
T114591_2.00	0	1
T114596_2.00	1	1
T117214_2.00	2	1
T117220_2.00	2	1
T117225_2.00	1	1
T117228_2.00	13	0
T117232_2.00	2	1
T117435_2.00	1	1
T117456_2.00	1	0
T119084_2.00	1	1
T119099_2.00	2	1
T119105_2.00	2	1
T120680_2.00	2	1
T120698_2.00	0	1
T120801_2.00	1	1
T125863_2.00	1	0
T125870_2.00	1	1
T125880_2.00	1	1
T125883_2.00	3	1
T125893_2.00	1	1
T125909_2.00	2	0
T126264_2.00	0	1
T128342_2.00	3	1
T128344_2.00	0	1
T128346_2.00	1	1
T128357_2.00	1	0
T128381_2.00	0	1
T128387_2.00	1	1
T128389_2.00	2	1
T128395_2.00	2	1
T129400_2.00	1	1
T129406_2.00	1	1
T129407_2.00	0	1
T129409_2.00	2	1
T129410_2.00	2	1
T129445_2.00	1	0
T129448_2.00	0	1
T131556_2.00	2	1
T131561_2.00	0	1
T131562_2.00	0	1
T131568_2.00	0	1
T131585_2.00	3	1
T131587_2.00	0	1
T131592_2.00	0	1
T131601_2.00	0	1
T131606_2.00	0	1
T131607_2.00	2	1
T131614_2.00	2	1
T131622_2.00	1	0
T131625_2.00	0	1
T131635_2.00	0	0
T131643_2.00	0	1
T131650_2.00	0	1
T131789_2.00	3	1
T131790_2.00	0	0
T131822_2.00	1	1
T131824_2.00	0	1
T131828_2.00	2	1
T131829_2.00	0	1
T131830_2.00	0	1
T131831_2.00	0	1
T131833_2.00	0	1
T131834_2.00	2	1
T131835_2.00	1	1
T131836_2.00	0	1
T131837_2.00	0	1
T131840_2.00	7	1
T131841_2.00	0	1
T131844_2.00	1	1
T131846_2.00	0	0
T131849_2.00	2	1
T131853_2.00	1	1
T131855_2.00	1	1
T131857_2.00	1	0
T131858_2.00	6	1
T131859_2.00	0	1
T137733_2.00	1	0
T137734_2.00	1	1
T144838_2.00	2	1
T144839_2.00	1	1
T144840_2.00	0	1
T144842_2.00	1	1
T144845_2.00	0	1
T144846_2.00	1	1
T144848_2.00	1	1
T144849_2.00	2	1
T144850_2.00	2	1
T144852_2.00	0	0
T144853_2.00	0	1
T144861_2.00	2	1
T144866_2.00	1	1
T144867_2.00	1	1
T144868_2.00	0	1
T144869_2.00	0	1
T144873_2.00	2	1
T144874_2.00	3	1
T144877_2.00	1	1
T144879_2.00	1	1
T144882_2.00	1	1
T144969_2.00	2	1
T144982_2.00	1	1
bowl	2	0
ci	3	0
disco	6	0
fru	11	0
gl	0	0
ken	3	0
klu	1	0
l(3)neo38	2	0
lmd	5	1
lola-PA	7	0
lola-PC	2	0
lola-PF	6	0
lola-PL	6	1
lola-PU	4	0
lola-PY	7	0
luna	3	0
opa	6	0
ovo	0	1
pho	2	0
phol	2	0
rn	5	0
sens	4	1
shn-F1-2	7	1
sqz	4	0
sr	2	0
sug	5	1
vfl	1	0
